NPA,Area,Area,Population_Density_2016,Population _2016,Population_Density_2015,Population _2015,Population_Density_2013,Population _2013,Population_Density_2010,Population_2010,Population_Density_2000,Population _2000,Age_of_Residents_2015,Age_of_Residents_moe_2015,Youth_Population_2015,Youth_Population_moe_2015,Older_Adult_Population_2015,Older_Adult_Population_moe_2015,White_Population_2010,White_Population_2000,Black_Population_2010,Black_Population_2000,Asian_Population_2010,Asian_Population_2000,All_Other_Races_2010,All_Other_Races_2000,Hispanic_Latino_2010,Hispanic_Latino_2000,Vacant_Land_2017,Vacant_Land_Area_2017,Vacant_Land_2016,Vacant_Land_Area_2016,Vacant_Land_2015,Vacant_Land_Area_2015,Vacant_Land_2013,Vacant_Land_Area_2013,Vacant_Land_2011,Vacant_Land_Area_2011
102,197,197,8,1480,7,1474,7,1443,7,1337,7,1347,28,9,23,5,10,5,12.6,23.8,51.6,52.6,4.2,4.4,3.7,3.2,27.8,16.1,5.5,12,5.2,10,5.2,10,5.2,10,5.2,10
103,134,136,12,1572,12,1567,11,1514,10,1346,7,894,32,8,24,7,12,4,8.3,9.8,51.9,59.1,1.5,11.2,0.8,3.5,37.5,16.4,1.1,2,19.6,26,19.4,26,14.8,20,14.8,20
105,222,222,8,1701,6,1364,5,1031,4,847,2,507,36,4,14,7,13,6,62.1,58.8,21.7,33.5,5.4,3.9,2,3,8.7,0.8,3.5,6,5.4,12,10.1,22,10.1,22,10.1,22
106,152,152,11,1614,11,1615,10,1579,8,1256,10,1511,35,6,24,11,5,5,16.2,29.3,25.9,22.6,3.7,8.9,2.5,2.1,51.7,37.1,17.8,102,1.1,2,1.1,2,1.1,2,1.1,2
107,160,160,9,1404,14,2228,14,2228,12,1985,9,1425,27,2,20,8,3,2,28.8,55.8,44.3,23.9,2.1,6,7.1,2.3,17.7,12,16.4,204,3.1,5,3.1,5,5.5,9,5.5,9
108,572,572,3,1433,3,1436,3,1431,2,1319,2,1121,30,7,20,6,6,5,55.3,64,25.5,18.6,3.3,5,3,2.6,12.8,9.9,20.1,280,17.9,102,17.9,102,17.3,99,17.3,99
109,1246,1241,2,2554,2,2460,2,2304,2,2147,1,1126,38,5,30,9,8,3,66.4,92.2,25.9,2.8,3,2.8,1.6,1.1,3,1.2,38,285,16.4,204,16.5,204,16.5,204,16.5,204
110,1393,1393,1,1856,1,1844,1,1860,1,1671,1,807,39,11,19,7,13,4,57.9,93.1,30.6,4.6,2.4,1,2.2,0.1,6.9,1.3,31.3,512,20.1,280,20.1,280,20.1,280,20.1,280
111,752,764,4,3002,4,3194,4,2888,3,2274,1,451,36,4,30,6,6,3,24.7,59.7,41.2,25.1,12.1,8.4,2.8,1.3,19.2,5.5,17.6,235,37.9,285,37.5,287,26.9,206,26.9,206
112,1636,1629,1,1555,1,1468,1,1391,1,1280,0,733,39,3,23,8,14,6,49.3,93.5,38.9,3.2,5,1.8,2.3,0.7,4.5,0.9,21.9,144,31.3,512,31.4,512,31.4,512,31.4,512
113,1338,1335,3,4083,3,4007,3,3768,3,3630,1,929,31,3,31,5,3,2,23.9,76.2,62.2,19.9,2.3,1.2,3.4,1,8.1,1.7,8.9,64,17.6,235,17.6,235,17.6,235,17.6,235
